Energy[keV],Fluence_rate [cm^-2s^-1]
157.6,0.31474
157.8,0.0021914
158,0.40597
158.2,0.61197
158.4,0.92793
158.6,0.42937
158.8,0.27434
159,0.25622
159.2,0.42536
159.4,0.20203
159.6,0.47067
159.8,0.48308
160,0.0022081
160.2,0.11899
160.4,0.28085
160.6,0.62024
160.8,0.43031
161,0.10655
161.2,0.12389
161.4,0.29852
161.6,0.6412
161.8,0.43605
162,0.71789
162.2,0.3737
162.4,0.24244
162.6,0.13218
162.8,0.44804
163,0.24989
163.2,0.35104
163.4,0.27398
163.6,0.40523
163.8,0.34548
164,0.22538
164.2,0.66252
164.4,0.47514
164.6,0.58434
164.8,1.1824
165,0.64767
165.2,0.30473
165.4,0.46827
165.6,0.58463
165.8,0.58527
166,0.51187
166.2,0.13796
166.4,0.45359
166.6,0.53584
166.8,0.13814
167,0.44533
167.2,0.67891
167.4,0.49632
167.6,0.42774
167.8,0.50871
168,0.51444
168.2,0.26457
168.4,0.39412
168.6,0.62972
168.8,0.27031
169,0.36447
169.2,0.81061
169.4,0.21981
169.6,0.50805
169.8,0.18578
170,0.012305
170.2,0.2983
170.4,0.37708
170.6,0.48239
170.8,0.10837
171,0.37765
171.2,0.50103
171.4,0.27462
171.6,0.38087
171.8,0.61205
172,0.27361
172.2,0.52433
172.4,0.45503
172.6,0.37037
172.8,0.38539
173,0.72795
173.2,0.81994
173.4,0.15781
173.6,0.13965
173.8,0
174,0
174.2,0.77606
174.4,0.69589
174.6,0.16079
174.8,0.44772
175,0.49359
175.2,0.3926
175.4,0.59463
175.6,0.69976
175.8,0.41627
176,0.5425
176.2,0.54099
176.4,0.42037
176.6,0.19743
176.8,0.096755
177,0.0030164
177.2,0.16732
177.4,0.35493
177.6,0.4911
177.8,0.56763
178,0.47619
178.2,0.48956
178.4,0.48606
178.6,0.7031
178.8,0.27473
179,0.23844
179.2,0.22984
179.4,0.28553
179.6,0.5268
179.8,0.4815
180,0.91528
180.2,0.36829
180.4,0.64304
180.6,0.49024
180.8,0.022278
181,0.068737
181.2,0
181.4,0.0064343
181.6,0.17792
181.8,0.33499
182,0.25569
182.2,0.7437
182.4,0.72763
182.6,0.039477
182.8,0.65391
183,0.39789
183.2,0.4045
183.4,0.48113
183.6,0.78404
183.8,0.87057
184,0.81051
184.2,0.42066
184.4,0.27586
184.6,0.25537
184.8,0.75765
185,0.57282
185.2,0.5972
185.4,0.42382
185.6,0.43484
185.8,0.96899
186,0.87425
186.2,0.81654
186.4,0.34153
186.6,0.33852
186.8,0.56404
187,0.29285
187.2,0.42932
187.4,0.19969
187.6,0.19173
187.8,0.36733
188,0.33739
188.2,0.53519
188.4,0.45811
188.6,0.58298
188.8,0.74036
189,0.52043
189.2,0.5683
189.4,0.43547
189.6,0.49545
189.8,0.67671
190,0.31344
190.2,0.51332
190.4,0.25727
190.6,0.77684
190.8,0.5485
191,0.43051
191.2,0.63588
191.4,0.33083
191.6,0.55035
191.8,0.50688
192,0.30189
192.2,1.09E-07
192.4,0.36159
192.6,0.39683
192.8,0.58951
193,0.34832
193.2,0.20316
193.4,0.2533
193.6,0.3327
193.8,0.73679
194,0
194.2,0.35646
194.4,0.1206
194.6,0.28982
194.8,0.30096
195,0.20704
195.2,0.30814
195.4,0.28526
195.6,0.33377
195.8,0.43721
196,0.56939
196.2,0.34944
196.4,0.69826
196.6,0.31874
196.8,0.27995
197,0.27177
197.2,0.27591
197.4,0.24662
197.6,0
197.8,0.14637
198,0
198.2,0.1795
198.4,0.80222
198.6,0.59888
198.8,0.13995
199,0.36904
199.2,0.21457
199.4,0.077237
199.6,0.4617
199.8,0.81181
200,0.95633
200.2,0.59544
200.4,0.92285
200.6,0.37254
200.8,0.42418
201,0.24687
201.2,0.27523
201.4,0
201.6,0.19896
201.8,0.55739
202,0.24617
202.2,0.28146
202.4,0.46852
202.6,0.257
202.8,0.21704
203,0.57045
203.2,0.040678
203.4,0.17119
203.6,0.1395
203.8,0.43818
204,0.70591
204.2,0.41943
204.4,0
204.6,0.37786
204.8,0.13738
205,0.13885
205.2,0.12643
205.4,0.26083
205.6,0.26924
205.8,0.14528
206,0.22573
206.2,0.4682
206.4,0.35157
206.6,0.29829
206.8,0.33948
207,1.1474
207.2,0.49593
207.4,0.51215
207.6,0.34785
207.8,0.66195
208,0.40383
208.2,0.2965
208.4,0.35687
208.6,0.037135
208.8,0.053086
209,0.087373
209.2,0.37405
209.4,0.3242
209.6,0.32331
209.8,0.18768
210,0.20131
210.2,0.4856
210.4,0.17769
210.6,0.10827
210.8,0.22154
211,0.13791
211.2,0.33975
211.4,0.26325
211.6,0.48841
211.8,0.65439
212,0.089783
212.2,0.11925
212.4,0.16378
212.6,1.37E-10
212.8,0.11427
213,0.23607
213.2,0.1528
213.4,0.13248
213.6,0.23662
213.8,0.13563
214,0.15128
214.2,0.2375
214.4,0.23779
214.6,0.42548
214.8,0.23832
215,0.65204
215.2,0.57682
215.4,0.23922
215.6,0.23943
215.8,0.3913
216,0.088346
216.2,0.58922
216.4,0.26839
216.6,0.24049
216.8,0.42964
217,0.16838
217.2,0.12561
217.4,0.24172
217.6,0.1506
217.8,0.14443
218,0.62112
218.2,0.13326
218.4,0.34178
218.6,0.44331
218.8,0.24343
219,0.06142
219.2,0.42625
219.4,0.097921
219.6,0.74496
219.8,0.080135
220,0.080046
220.2,0
220.4,0.44033
220.6,0.29237
220.8,0.42637
221,0.49844
221.2,0.18767
221.4,0.24663
221.6,0.24666
221.8,0.46737
222,0.50832
222.2,0.50871
222.4,0.030295
222.6,0.10446
222.8,0.060058
223,0.50278
223.2,0.51056
223.4,0.49591
223.6,0.24912
223.8,0.2493
224,0.056923
224.2,0.35341
224.4,0.68646
224.6,0.23522
224.8,0.10953
225,0.82857
225.2,0.058
225.4,0.25093
225.6,0.25131
225.8,0.1622
226,0
226.2,0.48596
226.4,0.67214
226.6,0.33778
226.8,0.05908
227,0.25259
227.2,0.062879
227.4,0.36894
227.6,0
227.8,0
228,0.081541
228.2,0.41796
228.4,0.24289
228.6,0.21251
228.8,0.33693
229,0.19517
229.2,0
229.4,0.39335
229.6,0.44288
229.8,0.10583
230,0.18426
230.2,0.18408
230.4,0.18544
230.6,0.18502
230.8,0.10611
231,0.25689
231.2,0.19325
231.4,0.39546
231.6,0.5743
231.8,0.33985
232,0.21674
232.2,0.020138
232.4,0.15667
232.6,0.16364
232.8,0.45489
233,0.13827
233.2,0.37499
233.4,0.066412
233.6,0.25924
233.8,0.83511
234,0.077596
234.2,0.25985
234.4,0.29363
234.6,0.42378
234.8,0.2602
235,0.31319
235.2,0.40545
235.4,0.26065
235.6,0.45879
235.8,0.26098
236,0.063513
